LDI,1870,1880,1890,1900,1913,1925,1929,1933,1938,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0.056,0.034,0.035,0.035,0.131,0.125,0.125,0.132,0.091,0.055,0.055,0.056,0.056,0.055,0.056,0.056,0.057,0.072,0.347,0.344,0.416,0.437,0.430,0.409
Austria,0.200,0.222,0.239,0.237,0.242,0.565,0.570,0.170,0.093,0.629,0.633,0.699,0.696,0.728,0.750,0.760,0.772,0.783,0.785,0.791,0.792,0.800,0.803,0.763
Belgium,0.344,0.356,0.349,0.450,0.449,0.453,0.453,0.452,0.453,0.637,0.652,0.754,0.761,0.773,0.766,0.788,0.780,0.802,0.808,0.821,0.813,0.827,0.835,0.823
Belarus,,,,,,,,,,,,,,,,0.028,0.030,0.356,0.373,0.115,0.099,0.099,0.104,0.077
Bulgaria,0.094,0.192,0.113,0.177,0.185,0.162,0.173,0.184,0.108,0.056,0.057,0.057,0.057,0.058,0.059,0.060,0.060,0.407,0.602,0.628,0.620,0.586,0.575,0.512
Croatia,,,,,,,,,,,,,,,,0.129,0.139,0.153,0.221,0.629,0.642,0.722,0.712,0.649
Cyprus,,,,,0.092,0.093,0.094,0.087,0.087,0.096,0.089,0.195,0.343,0.356,0.428,0.482,0.564,0.617,0.637,0.673,0.716,0.741,0.746,0.712
Czechoslovakia/Czechia,0.207,0.219,0.227,0.227,0.230,0.632,0.639,0.611,0.553,0.035,0.030,0.047,0.055,0.046,0.045,0.058,0.059,0.609,0.831,0.808,0.829,0.819,0.776,0.706
Denmark,0.372,0.370,0.351,0.377,0.559,0.823,0.823,0.806,0.802,0.864,0.871,0.873,0.873,0.879,0.881,0.882,0.879,0.881,0.880,0.877,0.893,0.893,0.890,0.877
Estonia,,,,,,,,,,,,,,,,0.028,0.030,0.687,0.801,0.805,0.810,0.820,0.837,0.833
Finland,0.164,0.164,0.165,0.170,0.260,0.566,0.566,0.522,0.547,0.776,0.780,0.776,0.778,0.770,0.774,0.772,0.801,0.819,0.834,0.839,0.830,0.842,0.827,0.834
France,0.246,0.458,0.458,0.467,0.476,0.473,0.474,0.472,0.467,0.646,0.636,0.645,0.516,0.762,0.775,0.780,0.801,0.804,0.805,0.806,0.808,0.828,0.824,0.798
Germany,0.179,0.217,0.220,0.223,0.231,0.474,0.482,0.063,0.014,0.776,0.789,0.792,0.809,0.820,0.820,0.827,0.830,0.834,0.864,0.862,0.866,0.870,0.847,0.827
Greece,0.171,0.263,0.265,0.264,0.263,0.189,0.265,0.260,0.064,0.241,0.306,0.311,0.315,0.066,0.612,0.736,0.769,0.780,0.794,0.793,0.795,0.812,0.776,0.719
Hungary,0.214,0.215,0.215,0.217,0.217,0.268,0.251,0.254,0.245,0.069,0.076,0.078,0.091,0.097,0.098,0.100,0.105,0.688,0.768,0.761,0.763,0.678,0.484,0.362
Iceland,,,,,,,,,,0.702,0.710,0.712,0.713,0.733,0.732,0.743,0.752,0.785,0.788,0.793,0.787,0.803,0.785,0.770
Ireland,0.320,0.343,0.393,0.417,0.421,0.615,0.637,0.645,0.647,0.665,0.676,0.682,0.711,0.714,0.734,0.732,0.748,0.765,0.784,0.806,0.808,0.814,0.817,0.809
Italy,0.187,0.207,0.206,0.240,0.276,0.050,0.035,0.036,0.033,0.560,0.577,0.623,0.632,0.651,0.662,0.711,0.735,0.742,0.756,0.766,0.768,0.777,0.794,0.779
Latvia,,,,,,,,,,,,,,,,0.028,0.030,0.447,0.671,0.709,0.714,0.696,0.756,0.739
Lithuania,,,,,,,,,,,,,,,,0.028,0.030,0.742,0.770,0.768,0.772,0.799,0.786,0.758
Malta,,,,,,,,,,0.517,0.517,0.192,0.526,0.528,0.513,0.500,0.475,0.557,0.599,0.610,0.610,0.638,0.588,0.635
Moldova,,,,,,,,,,,,,,,,0.028,0.030,0.306,0.419,0.446,0.364,0.487,0.490,0.476
Netherlands,0.372,0.376,0.399,0.435,0.435,0.664,0.662,0.663,0.661,0.725,0.711,0.740,0.735,0.794,0.795,0.816,0.817,0.817,0.819,0.815,0.817,0.831,0.832,0.815
Norway,0.286,0.291,0.380,0.421,0.496,0.644,0.652,0.649,0.654,0.721,0.744,0.777,0.797,0.810,0.809,0.831,0.832,0.853,0.851,0.864,0.864,0.867,0.864,0.857
Poland,0.027,0.054,0.040,0.039,0.073,0.516,0.233,0.220,0.218,0.104,0.104,0.136,0.132,0.134,0.135,0.143,0.140,0.484,0.814,0.805,0.812,0.824,0.800,0.468
